-


11-----11

Container, Proprio, Date, Text, Lien, Titre, Auteur, Nb_comm, Image_profil


10-----11

Container, Proprio, Date, Text, Lien, Titre, Auteur, Nb_comm, Image_profil

container 1:|||proprio_no |||date: 7 juillet 2013, 19:06 |||text_no |||title_no |||auteur_no |||nb_comm_else |||1
container 2:|||proprio_no |||date: 8 juin 2013, 13:53 |||text_no |||title_no |||auteur_no |||nb_comm_else |||1
container 3:|||proprio_no |||date: 25 mai 2013, 19:03 |||text_no |||title_no |||auteur_no |||nb_comm_else |||1
container 4:|||proprio_no |||date: 19 mai 2013, 10:38 |||text_no |||title_no |||auteur_no |||nb_comm_no |||1
container 5:|||proprio_no |||date: 28 avril 2013, 10:02 |||text_no |||title_no |||auteur_no |||nb_comm_else |||1

9-----11

Container, Proprio, Date, Text, Lien, Titre, Auteur, Nb_comm, Image_profil

container 1:|||proprio_no |||date: 13 octobre 2013, 21:42 |||text_no |||title_no |||auteur_no |||nb_comm: 3  |||1
container 2:|||proprio_no |||date: 12 septembre 2013, 23:10 |||text_no |||title_no |||auteur_no |||nb_comm_else |||1
container 3:|||proprio_no |||date: 10 août 2013, 18:51 |||text_no |||title_no |||auteur_no |||nb_comm_else |||1
container 4:|||proprio_no |||date: 8 juillet 2013, 01:45 |||text_no |||title_no |||auteur_no |||nb_comm: 2  |||1
container 5:|||proprio_no |||date: 7 juillet 2013, 19:11 |||text_no |||title_no |||auteur_no |||nb_comm_else |||1

8-----11

Container, Proprio, Date, Text, Lien, Titre, Auteur, Nb_comm, Image_profil

container 1:|||proprio_no |||date: 6 février 2014, 18:15 |||text : Il a une sale mouille mon gâteau 😫 |||title_no |||auteur_no |||nb_comm: 8  ||| 
container 2:|||proprio_no |||date: 1 janvier 2014, 00:12 |||text : Année !!! |||title_no |||auteur_no |||nb_comm_else ||| 
container 3:|||proprio_no |||date: 1 janvier 2014, 00:12 |||text : Bonne nuit !!!!!!! |||title_no |||auteur_no |||nb_comm_else ||| 

7-----11

Container, Proprio, Date, Text, Lien, Titre, Auteur, Nb_comm, Image_profil

container 1:|||proprio_no |||date: 8 septembre 2014, 12:28 |||text_no |||title_no |||auteur: youtube.com |||nb_comm_else ||| 
container 2:|||proprio_no |||date: 16 juin 2014, 23:03 |||text : Mdr il s'est chier dessus   |||title_no |||auteur: youtube.com |||nb_comm_else ||| 
container 3:|||proprio_no |||date: 2 juin 2014, 23:28 |||text_no |||title_no |||auteur_no |||nb_comm: 7  |||1
container 4:|||proprio: Les pires snaps et selfies |||date: 21 avril 2014, 23:05 |||text_no |||title_no |||auteur_no |||nb_comm_else ||| 
container 5:|||proprio: Les pires snaps et selfies |||date: 21 avril 2014, 23:05 |||text_no |||title_no |||auteur_no |||nb_comm_else ||| 

6-----11

Container, Proprio, Date, Text, Lien, Titre, Auteur, Nb_comm, Image_profil

container 1:|||proprio_no |||date: 11 décembre 2014, 13:08 |||text_no |||title_no |||auteur_no |||nb_comm_else |||1
container 2:|||proprio_no |||date: 6 décembre 2014, 01:08 |||text : Mdr comme des meuf |||title_no |||auteur_no |||nb_comm: 3  ||| 
container 3:|||proprio_no |||date: 6 décembre 2014, 01:06 |||text_no |||title_no |||auteur_no |||nb_comm_else |||1
container 4:|||proprio_no |||date: 23 novembre 2014, 20:51 |||text : Putain j'en veut un !!!!!!! |||title_no |||auteur: youtube.com |||nb_comm_else ||| 
container 5:|||proprio_no |||date: 18 novembre 2014, 12:12 |||text : Attention spolier |||title_no |||auteur: goldenmoustache.com |||nb_comm_else ||| 

5-----11

Container, Proprio, Date, Text, Lien, Titre, Auteur, Nb_comm, Image_profil

container 1:|||proprio: Les pires snaps et selfies |||date: 21 avril 2014, 23:05 |||text_no |||title_no |||auteur_no |||nb_comm_else ||| 
container 2:|||proprio: Les pires snaps et selfies |||date: 21 avril 2014, 23:05 |||text_no |||title_no |||auteur_no |||nb_comm_else ||| 

4-----11

Container, Proprio, Date, Text, Lien, Titre, Auteur, Nb_comm, Image_profil

container 1:|||proprio_no |||date: 18 novembre 2014, 12:12 |||text : Attention spolier |||title_no |||auteur: goldenmoustache.com |||nb_comm_else ||| 
container 2:|||proprio_no |||date: 8 septembre 2014, 12:28 |||text_no |||title_no |||auteur: youtube.com |||nb_comm_else ||| 
container 3:|||proprio_no |||date: 16 juin 2014, 23:03 |||text : Mdr il s'est chier dessus   |||title_no |||auteur: youtube.com |||nb_comm_else ||| 
container 4:|||proprio_no |||date: 2 juin 2014, 23:28 |||text_no |||title_no |||auteur_no |||nb_comm: 7  |||1

3-----11

Container, Proprio, Date, Text, Lien, Titre, Auteur, Nb_comm, Image_profil

container 1:|||proprio_no |||date: 1 janvier 2015, 00:15 |||text : Bonne année 2016  Attend t'es sur  Bin 2015 alors |||title_no |||auteur_no |||nb_comm_else ||| 
container 2:|||proprio_no |||date: 11 décembre 2014, 13:08 |||text_no |||title_no |||auteur_no |||nb_comm_else |||1
container 3:|||proprio_no |||date: 6 décembre 2014, 01:08 |||text : Mdr comme des meuf |||title_no |||auteur_no |||nb_comm: 3  ||| 
container 4:|||proprio_no |||date: 6 décembre 2014, 01:06 |||text_no |||title_no |||auteur_no |||nb_comm_else |||1
container 5:|||proprio_no |||date: 23 novembre 2014, 20:51 |||text : Putain j'en veut un !!!!!!! |||title_no |||auteur: youtube.com |||nb_comm_else ||| 

2-----11

Container, Proprio, Date, Text, Lien, Titre, Auteur, Nb_comm, Image_profil

container 1:|||proprio: GoPro |||date: 13 novembre 2015, 22:54 |||text : Impressionnant |||title_no |||auteur: help.facebook.com |||nb_comm_else ||| 
container 2:|||proprio: GoPro |||date: 13 novembre 2015, 22:54 |||text : Anthony Walsh and Matahi Drollet bring us inside some of the biggest barrels Tahiti has to offer in full 360°. For the most immersive experience, click and drag on your desktop, or move your iOS device in any direction. |||title_no |||auteur: help.facebook.com |||nb_comm_else ||| 
container 3:|||proprio_no |||date: 14 septembre 2015, 19:40 |||text_no |||title_no |||auteur: fanactu.com |||nb_comm_else ||| 
container 4:|||proprio: AlloCiné |||date: 13 septembre 2015, 12:57 |||text : Qui se souvient de ce dessin-animé ? 😃 |||title_no |||auteur_no |||nb_comm_else ||| 
container 5:|||proprio: AlloCiné |||date: 13 septembre 2015, 12:57 |||text : Qui se souvient de ce dessin-animé ? 😃 |||title_no |||auteur_no |||nb_comm_else ||| 
container 6:|||proprio_no |||date: 8 septembre 2015, 17:42 |||text_no |||title_no |||auteur: allocine.fr |||nb_comm_else ||| 
container 7:|||proprio_no |||date: 9 avril 2015, 16:24 |||text_no |||title_no |||auteur: dailymotion.com |||nb_comm_no ||| 

1-----11

Container, Proprio, Date, Text, Lien, Titre, Auteur, Nb_comm, Image_profil

container 1:|||proprio_no |||date: 11 décembre 2017, 20:39 |||text_no |||title_no |||auteur_no |||nb_comm: 4  |||1
container 2:|||proprio_no |||date: 11 décembre 2017, 20:39 |||text_no |||title_no |||auteur_no |||nb_comm_else |||1
container 3:|||proprio_no |||date: 14 janvier 2016, 18:39 |||text_no |||title_no |||auteur: allocine.fr |||nb_comm_else ||| 
